date_heure,date_heure_fin,nom_client,client_id,zone,type_prestation,duree_prestation_min,montant_recu_eur,statut,temps_non_facture_min
2023-03-01 09:00:00,2023-03-01 09:15:00,Manon Michel,1004,Favoris,Consultation préalable,15,25,Réalisé,8
2023-03-02 09:00:00,2023-03-02 09:15:00,Léa Thomas,1002,Menton,Consultation préalable,15,25,Réalisé,10
2023-03-08 09:00:00,2023-03-08 09:15:00,Charlotte Robert,1000,Nuque,Consultation préalable,15,25,Réalisé,11
2023-03-14 09:00:00,2023-03-14 09:15:00,Clara Bernard,1005,Menton,Consultation préalable,15,25,Réalisé,13
2023-03-21 09:00:00,2023-03-21 09:15:00,Amina Roux,1006,Aisselles,Consultation préalable,15,25,Réalisé,7
2023-03-27 09:00:00,2023-03-27 09:15:00,Elise Vincent,1003,Nuque,Consultation préalable,15,25,Réalisé,12
2023-03-29 09:00:00,2023-03-29 09:15:00,Lucie Girard,1001,Ventre,Consultation préalable,15,0,No-show,6
2023-04-01 10:00:00,2023-04-01 10:15:00,Jade Thomas,1010,Favoris,Consultation préalable,15,0,No-show,6
2023-04-04 09:00:00,2023-04-04 09:15:00,Nina Thomas,1009,Menton,Consultation préalable,15,25,Réalisé,5
2023-04-05 09:00:00,2023-04-05 09:50:00,Manon Michel,1004,Favoris,Séance électrolyse,50,130,Réalisé,9
2023-04-06 09:00:00,2023-04-06 10:00:00,Léa Thomas,1002,Menton,Séance électrolyse,60,150,Réalisé,17
2023-04-12 09:00:00,2023-04-12 10:00:00,Charlotte Robert,1000,Nuque,Séance électrolyse,60,0,Annulé,7
2023-04-13 09:00:00,2023-04-13 09:15:00,Julie Garcia,1011,Sourcils,Consultation préalable,15,25,Réalisé,14
2023-04-14 09:00:00,2023-04-14 09:15:00,Emma Bernard,1007,Ventre,Consultation préalable,15,25,Réalisé,5
2023-04-18 09:00:00,2023-04-18 09:55:00,Clara Bernard,1005,Menton,Séance électrolyse,55,140,Réalisé,12
