date_heure,libelle,montant_eur,type,categorie
2023-03-01 09:00:00,Loyer cabinet,-1200.0,Charge,Loyer
2023-03-01 09:00:00,Abonnement Planity,-80.0,Charge,Logiciel / abonnement
2023-03-01 09:00:00,Frais compte pro,-15.0,Charge,Frais bancaires
2023-03-01 09:15:00,CB - Manon Michel,25.0,Recette,Paiement client
2023-03-02 09:15:00,CB - Léa Thomas,25.0,Recette,Paiement client
2023-03-05 09:00:00,Assurance professionnelle,-45.0,Charge,Assurance
2023-03-06 09:00:00,Achats consommables,-10.0,Charge,Consommables
2023-03-08 09:15:00,CB - Charlotte Robert,25.0,Recette,Paiement client
2023-03-10 09:00:00,Électricité,-120.0,Charge,Énergie
2023-03-12 09:00:00,Hébergement site web,-12.0,Charge,Site web
2023-03-13 09:00:00,Achats consommables,-10.0,Charge,Consommables
2023-03-14 09:15:00,CB - Clara Bernard,25.0,Recette,Paiement client
2023-03-15 09:00:00,Entretien machine électrolyse,-250.0,Charge,Maintenance
2023-03-20 09:00:00,Achats consommables,-10.0,Charge,Consommables
2023-03-21 09:15:00,CB - Amina Roux,25.0,Recette,Paiement client
2023-03-27 09:00:00,Achats consommables,-10.0,Charge,Consommables
2023-03-27 09:15:00,CB - Elise Vincent,25.0,Recette,Paiement client
2023-04-01 09:00:00,Abonnement Planity,-80.0,Charge,Logiciel / abonnement
2023-04-01 09:00:00,Frais compte pro,-15.0,Charge,Frais bancaires
2023-04-01 09:00:00,Loyer cabinet,-1200.0,Charge,Loyer
2023-04-03 09:00:00,Achats consommables,-10.0,Charge,Consommables
2023-04-04 09:15:00,CB - Nina Thomas,25.0,Recette,Paiement client
2023-04-05 09:00:00,Assurance professionnelle,-45.0,Charge,Assurance
2023-04-05 09:50:00,CB - Manon Michel,130.0,Recette,Paiement client
2023-04-06 10:00:00,CB - Léa Thomas,150.0,Recette,Paiement client
2023-04-10 09:00:00,Électricité,-120.0,Charge,Énergie
2023-04-10 09:00:00,Achats consommables,-10.0,Charge,Consommables
2023-04-12 09:00:00,Hébergement site web,-12.0,Charge,Site web
2023-04-13 09:15:00,CB - Julie Garcia,25.0,Recette,Paiement client
2023-04-14 09:15:00,CB - Emma Bernard,25.0,Recette,Paiement client
2023-04-17 09:00:00,Achats consommables,-10.0,Charge,Consommables
2023-04-18 09:55:00,CB - Clara Bernard,140.0,Recette,Paiement client
2023-04-20 09:15:00,CB - Léa Lambert,25.0,Recette,Paiement client
2023-04-24 09:00:00,Achats consommables,-10.0,Charge,Consommables
2023-04-25 10:00:00,CB - Amina Roux,150.0,Recette,Paiement client
2023-04-27 09:15:00,CB - Chloé Garcia,25.0,Recette,Paiement client
2023-04-29 10:55:00,CB - Léa Thomas,140.0,Recette,Paiement client
2023-05-01 09:00:00,Achats consommables,-10.0,Charge,Consommables
2023-05-01 09:00:00,Abonnement Planity,-80.0,Charge,Logiciel / abonnement
2023-05-01 09:00:00,Frais compte pro,-15.0,Charge,Frais bancaires
2023-05-01 09:00:00,Loyer cabinet,-1200.0,Charge,Loyer
2023-05-03 10:15:00,CB - Lucie Girard,180.0,Recette,Paiement client
2023-05-05 09:00:00,Assurance professionnelle,-45.0,Charge,Assurance
2023-05-05 09:15:00,CB - Léa Fournier,25.0,Recette,Paiement client
2023-05-05 10:43:00,CB - Charlotte Robert,180.0,Recette,Paiement client
2023-05-06 10:50:00,CB - Jade Thomas,130.0,Recette,Paiement client
2023-05-08 09:00:00,Achats consommables,-10.0,Charge,Consommables
2023-05-08 09:15:00,CB - Eva Fournier,25.0,Recette,Paiement client
2023-05-09 09:55:00,CB - Nina Thomas,140.0,Recette,Paiement client
2023-05-10 09:00:00,Électricité,-120.0,Charge,Énergie
2023-05-11 09:50:00,CB - Clara Bernard,130.0,Recette,Paiement client
2023-05-12 09:00:00,Hébergement site web,-12.0,Charge,Site web
2023-05-12 09:15:00,CB - Jade Girard,25.0,Recette,Paiement client
2023-05-15 09:00:00,Achats consommables,-15.55,Charge,Consommables
2023-05-15 09:15:00,CB - Clara Petit,25.0,Recette,Paiement client
2023-05-18 09:25:00,CB - Julie Garcia,75.0,Recette,Paiement client
2023-05-18 09:58:00,CB - Léa Dubois,25.0,Recette,Paiement client
2023-05-18 11:05:00,CB - Amina Roux,130.0,Recette,Paiement client
2023-05-19 09:45:00,CB - Emma Bernard,120.0,Recette,Paiement client
2023-05-22 09:00:00,Achats consommables,-16.45,Charge,Consommables
2023-05-23 09:35:00,CB - Manon Michel,100.0,Recette,Paiement client
2023-05-24 09:55:00,CB - Elise Vincent,140.0,Recette,Paiement client
2023-05-24 11:00:00,CB - Léa Thomas,140.0,Recette,Paiement client
2023-05-25 09:45:00,CB - Léa Lambert,120.0,Recette,Paiement client
2023-05-26 09:55:00,CB - Lucie Girard,140.0,Recette,Paiement client
2023-05-29 09:00:00,Achats consommables,-13.51,Charge,Consommables
2023-05-29 09:40:00,CB - Jade Thomas,110.0,Recette,Paiement client
2023-05-30 10:00:00,CB - Charlotte Robert,150.0,Recette,Paiement client
2023-05-30 10:26:00,CB - Clara Lefèvre,25.0,Recette,Paiement client
2023-06-01 09:00:00,Frais compte pro,-15.0,Charge,Frais bancaires
2023-06-01 09:00:00,Abonnement Planity,-80.0,Charge,Logiciel / abonnement
2023-06-01 09:00:00,Loyer cabinet,-1200.0,Charge,Loyer
2023-06-01 09:55:00,CB - Nina Thomas,140.0,Recette,Paiement client
2023-06-01 11:28:00,CB - Chloé Garcia,180.0,Recette,Paiement client
2023-06-05 09:00:00,Achats consommables,-14.21,Charge,Consommables
2023-06-05 09:00:00,Assurance professionnelle,-45.0,Charge,Assurance
2023-06-05 09:40:00,CB - Clara Bernard,110.0,Recette,Paiement client
2023-06-08 09:15:00,CB - Eva Durand,25.0,Recette,Paiement client
2023-06-09 10:15:00,CB - Léa Fournier,180.0,Recette,Paiement client
2023-06-09 10:44:00,CB - Sarah Vincent,25.0,Recette,Paiement client
2023-06-10 09:00:00,Électricité,-120.0,Charge,Énergie
2023-06-10 10:15:00,CB - Julie Garcia,50.0,Recette,Paiement client
2023-06-12 09:00:00,Hébergement site web,-12.0,Charge,Site web
2023-06-12 09:00:00,Achats consommables,-16.49,Charge,Consommables
2023-06-12 09:40:00,CB - Emma Bernard,110.0,Recette,Paiement client
2023-06-12 10:34:00,CB - Amina Roux,110.0,Recette,Paiement client
2023-06-12 11:44:00,CB - Eva Fournier,140.0,Recette,Paiement client
2023-06-15 09:00:00,Entretien machine électrolyse,-250.0,Charge,Maintenance
2023-06-16 10:00:00,CB - Jade Girard,150.0,Recette,Paiement client
2023-06-16 10:25:00,CB - Hana Robert,25.0,Recette,Paiement client
2023-06-17 10:45:00,CB - Léa Lambert,120.0,Recette,Paiement client
2023-06-19 09:00:00,Achats consommables,-36.35,Charge,Consommables
2023-06-19 09:50:00,CB - Elise Vincent,130.0,Recette,Paiement client
2023-06-19 11:15:00,CB - Clara Petit,180.0,Recette,Paiement client
2023-06-20 10:00:00,CB - Lucie Girard,150.0,Recette,Paiement client
2023-06-20 11:00:00,CB - Manon Michel,110.0,Recette,Paiement client
2023-06-21 09:45:00,CB - Léa Thomas,120.0,Recette,Paiement client
2023-06-22 09:45:00,CB - Léa Dubois,120.0,Recette,Paiement client
2023-06-23 09:50:00,CB - Jade Thomas,130.0,Recette,Paiement client
2023-06-23 10:15:00,CB - Clara Fournier,25.0,Recette,Paiement client
2023-06-24 10:55:00,CB - Chloé Garcia,140.0,Recette,Paiement client
2023-06-24 11:20:00,CB - Inès Petit,25.0,Recette,Paiement client
2023-06-26 09:00:00,Achats consommables,-14.52,Charge,Consommables
2023-06-26 09:45:00,CB - Nina Thomas,120.0,Recette,Paiement client
2023-06-27 10:14:00,CB - Charlotte Robert,130.0,Recette,Paiement client
2023-06-28 09:15:00,CB - Zoé Vincent,25.0,Recette,Paiement client
2023-06-29 09:15:00,CB - Manon Fournier,25.0,Recette,Paiement client
2023-06-30 09:15:00,CB - Elise André,25.0,Recette,Paiement client
2023-07-01 09:00:00,Frais compte pro,-15.0,Charge,Frais bancaires
2023-07-01 09:00:00,Loyer cabinet,-1200.0,Charge,Loyer
2023-07-01 09:00:00,Abonnement Planity,-80.0,Charge,Logiciel / abonnement
2023-07-03 09:00:00,Achats consommables,-22.45,Charge,Consommables
